hs_section,flow,event_year,event_label,pre_share_pct,post_share_pct,delta_pp,baseline_sigma_pp,z_score
18 Optical. medical. photog. musical instr,import,2022,Energy / Ukraine shock,1.1944838381119163,1.1489350987233384,-0.04554873938857784,0.13233126100889392,-0.3442024132568081
17 Transport means,export,2020,Tariff removal Apr + COVID shock,1.0422207620180022,1.0884763436965659,0.046255581678563695,0.14226681299078237,0.3251326202236684
13 Articl. of stone. plaster. ceramic product and glass,import,2016,SAA into force,4.0489331967962885,3.9864591881033578,-0.06247400869293074,0.19744656388899454,-0.31640970327573764
02 Vegetable products,import,2022,Energy / Ukraine shock,3.7370530158945,3.578184614096971,-0.15886840179752904,0.5053982417650272,-0.31434300452392766
09 Wood and articles of wood,import,2022,Energy / Ukraine shock,2.247342608629565,2.2023280507345113,-0.04501455789505382,0.14765659880047616,-0.30485977775961515
05 Mineral products,import,2018,Serbia tariff onset (Nov),14.528007382956057,15.254416552559881,0.7264091696038246,2.424124104345916,0.2996584078766984
11 Textils and textile articles,export,2020,Tariff removal Apr + COVID shock,3.0106282007155,3.21573268419235,0.20510448347685006,0.6988173265480454,0.2935022869138157
03 Edible oils,export,2020,Tariff removal Apr + COVID shock,0.3554032771154709,0.3017579029826231,-0.053645374132847756,0.1858245843196809,-0.288688250423096
08 Leather and their articles,export,2018,Serbia tariff onset (Nov),3.128753207587101,2.9749659863945577,-0.1537872211925433,0.5451819769264504,-0.2820841988569451
02 Vegetable products,import,2016,SAA into force,5.444047771771599,5.302755733748032,-0.1412920380235665,0.5053982417650272,-0.27956574904203335
02 Vegetable products,export,2018,Serbia tariff onset (Nov),6.198248723578741,6.483265306122449,0.2850165825437072,1.0477960186528132,0.27201533263140537
19 Arms and ammunition,import,2022,Energy / Ukraine shock,0.11859017945223933,0.31776452655568077,0.19917434710344145,0.7785523648717668,0.25582652637147524
03 Edible oils,export,2018,Serbia tariff onset (Nov),0.04735324462315812,0.09333333333333334,0.04598008871017522,0.1858245843196809,0.2474381356940047
14 Pearls. precious stones. metals etc,import,2020,Tariff removal Apr + COVID shock,0.15012310094277306,0.1330143819335832,-0.017108719009189866,0.07026198109548427,-0.24349895551535253
17 Transport means,import,2020,Tariff removal Apr + COVID shock,9.001581296663264,8.762265533713762,-0.2393157629495022,1.0019199052437004,-0.23885717979751345
08 Leather and their articles,import,2022,Energy / Ukraine shock,0.23011404938176197,0.22200959109805377,-0.008104458283708205,0.03399969392959502,-0.23836856591975616
01 Live animals,export,2016,SAA into force,0.20473786789796308,0.25030197722413494,0.04556410932617186,0.19491878217086386,0.2337594603183536
