year,flow,hs_section,share_of_flow_pct
2017,import,03 Edible oils,0.9308116985196674
2017,import,04 Prepared foodstufs beverageas and tobacco,12.992735848623145
2017,import,05 Mineral products,14.528007382956057
2017,import,06 Product of chemical industries,7.562410199086451
2017,import,07 Plastics. rubber and articles therof,6.3756433339087595
2017,import,08 Leather and their articles,0.2956989423757917
2017,import,09 Wood and articles of wood,2.5331652126767876
2017,import,10 Paper and their articles,1.5120357017910626
2017,import,11 Textils and textile articles,4.591702444816539
2017,import,12 Footwear,1.1892282881164469
2017,import,13 Articl. of stone. plaster. ceramic product and glass,3.645006363598771
2017,import,14 Pearls. precious stones. metals etc,0.11286444648505523
2017,import,15 Base metal and articles of base metal,10.07887055475222
2017,import,16 Machinery. appliances and electric materials,11.861465865971255
2017,import,17 Transport means,8.781175562467961
2017,import,18 Optical. medical. photog. musical instr,1.0843716709254754
2017,import,19 Arms and ammunition,0.08145668978653883
2017,import,20 Miscellaneous manufactured articles,2.8960117728218213
2017,import,21 Works of art,0.07755123205704725
2017,export,01 Live animals,0.22380360307928363
2017,export,02 Vegetable products,6.198248723578741
2017,export,03 Edible oils,0.04735324462315812
2017,export,04 Prepared foodstufs beverageas and tobacco,9.75662019523293
2017,export,05 Mineral products,19.231766355387425
2017,export,06 Product of chemical industries,1.5560434909129388
2017,export,07 Plastics. rubber and articles therof,9.425676569402926
2017,export,08 Leather and their articles,3.128753207587101
2017,export,09 Wood and articles of wood,1.166106716753525
2017,export,10 Paper and their articles,1.3782704161265575
2017,export,11 Textils and textile articles,2.629824607814608
2017,export,12 Footwear,0.721938573053623
2017,export,13 Articl. of stone. plaster. ceramic product and glass,1.714240364011534
2017,export,14 Pearls. precious stones. metals etc,1.0925636887913017
2017,export,15 Base metal and articles of base metal,35.821803655987935
2017,export,16 Machinery. appliances and electric materials,2.494378455596413
2017,export,17 Transport means,0.46374434538768816
2017,export,18 Optical. medical. photog. musical instr,0.15687415676833946
2017,export,19 Arms and ammunition,0.0
2017,export,20 Miscellaneous manufactured articles,2.7377582603634822
2017,export,21 Works of art,0.05423136954048835
2018,import,01 Live animals,3.9448929208777623
2018,import,02 Vegetable products,4.533985696491586
2018,import,03 Edible oils,0.8344460176557531
2018,import,04 Prepared foodstufs beverageas and tobacco,11.96870879719248
2018,import,05 Mineral products,15.254416552559881
2018,import,06 Product of chemical industries,7.026627638809672
2018,import,07 Plastics. rubber and articles therof,6.3937943436696205
2018,import,08 Leather and their articles,0.29946122077280296
2018,import,09 Wood and articles of wood,2.196497113394608
2018,import,10 Paper and their articles,1.4253015601084071
2018,import,11 Textils and textile articles,4.855078157795119
2018,import,12 Footwear,1.1694015944375444
2018,import,13 Articl. of stone. plaster. ceramic product and glass,3.5288201921057327
2018,import,14 Pearls. precious stones. metals etc,0.1086342411184188
2018,import,15 Base metal and articles of base metal,11.120339909250372
2018,import,16 Machinery. appliances and electric materials,13.001122494070081
2018,import,17 Transport means,8.02967184750812
2018,import,18 Optical. medical. photog. musical instr,1.0009826678191378
2018,import,19 Arms and ammunition,0.07774100533281784
2018,import,20 Miscellaneous manufactured articles,3.1535599972632298
2018,import,21 Works of art,0.07651603176685108
2018,export,01 Live animals,0.19700680272108845
2018,export,02 Vegetable products,6.483265306122449
2018,export,03 Edible oils,0.09333333333333334
2018,export,04 Prepared foodstufs beverageas and tobacco,10.627755102040817
2018,export,05 Mineral products,13.952380952380953
2018,export,06 Product of chemical industries,2.0258503401360546
2018,export,07 Plastics. rubber and articles therof,12.188843537414966
2018,export,08 Leather and their articles,2.9749659863945577
2018,export,09 Wood and articles of wood,1.5412244897959184
2018,export,10 Paper and their articles,1.4568707482993197
2018,export,11 Textils and textile articles,2.8960544217687074
2018,export,12 Footwear,0.5610884353741497
2018,export,13 Articl. of stone. plaster. ceramic product and glass,2.11265306122449
2018,export,14 Pearls. precious stones. metals etc,0.9564625850340136
2018,export,15 Base metal and articles of base metal,34.076462585034015
2018,export,16 Machinery. appliances and electric materials,3.1300680272108843
2018,export,17 Transport means,0.8598639455782313
